Date,Time,Particle_Count
06/02/2026,11:38:06,"6930
"
06/02/2026,11:38:07,"7080
"
06/02/2026,11:38:08,"6980
"
06/02/2026,11:38:09,"7060
"
06/02/2026,11:38:10,"7100
"
06/02/2026,11:38:11,"6960
"
06/02/2026,11:38:12,"6950
"
06/02/2026,11:38:13,"6840
"
06/02/2026,11:38:14,"7050
"
06/02/2026,11:38:15,"6940
"
06/02/2026,11:38:16,"6920
"
06/02/2026,11:38:17,"6960
"
06/02/2026,11:38:18,"7010
"
06/02/2026,11:38:19,"7050
"
06/02/2026,11:38:20,"7100
"
06/02/2026,11:38:21,"7090
"
06/02/2026,11:38:22,"7150
"
